Age,EdLevel,Employment,WorkExp,YearsCode,DevType,ICorPM,RemoteWork,Industry,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,income_tier,orgsize_log
29.5,5.0,0,9.0,13.0,"Developer, mobile",0.0,Remote,Software Development,7.0,3.0,110000.0,3.0,2.302585092994046
49.5,6.0,0,19.0,20.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Fintech,6.0,2.0,185989.0,3.0,5.702114417555504
29.5,4.0,1,8.0,6.0,"Developer, full-stack",0.0,Remote,Software Development,11.0,5.0,83200.0,3.0,2.302585092994046
29.5,4.0,0,5.0,10.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,6.0,2.0,118000.0,3.0,4.085976312551584
39.5,4.0,0,15.0,17.0,"Developer, back-end",0.0,Remote,Software Development,4.0,4.0,40605.0,3.0,2.302585092994046
49.5,2.0,0,30.0,39.0,AI/ML engineer,0.0,Remote,Software Development,13.0,4.0,215000.0,3.0,4.085976312551584
49.5,4.0,0,12.0,31.0,"Developer, full-stack",0.0,Remote,Media & Advertising Services,6.0,3.0,127616.0,3.0,0.0
21.0,4.0,1,3.0,3.0,"Developer, back-end",0.0,Remote,Software Development,8.0,5.0,23870.0,2.0,2.302585092994046
59.5,5.0,1,37.0,25.0,"Architect, software or solutions",,,Manufacturing,6.0,5.0,139218.0,3.0,
39.5,4.0,0,14.0,25.0,"Developer, full-stack",0.0,Remote,Software Development,2.0,1.0,81210.0,3.0,2.302585092994046
59.5,4.0,1,34.0,45.0,"Developer, desktop or enterprise applications",,,Software Development,2.0,,150000.0,3.0,
29.5,5.0,0,10.0,20.0,"Developer, embedded applications or devices",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,7.0,,87328.0,3.0,9.903487552536127
29.5,4.0,0,10.0,14.0,"Developer, back-end",0.0,In-person,Fintech,6.0,7.0,28275.0,2.0,8.006200887093147
39.5,4.0,0,17.0,21.0,"Developer, back-end",0.0,Remote,Software Development,2.0,1.0,136141.0,3.0,4.085976312551584
39.5,4.0,0,21.0,15.0,"Senior executive (C-suite, VP, etc.)",1.0,Remote,Software Development,4.0,4.0,148499.0,3.0,8.006200887093147
29.5,4.0,0,11.0,20.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,4.0,2.0,63808.0,3.0,4.085976312551584
29.5,4.0,0,6.0,9.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Government,7.0,4.0,146329.0,3.0,8.006200887093147
39.5,4.0,0,22.0,22.0,"Architect, software or solutions",1.0,Remote,Banking/Financial Services,5.0,1.0,180000.0,3.0,8.006200887093147
29.5,5.0,0,3.0,9.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,7.0,3.0,64327.0,3.0,2.302585092994046
29.5,5.0,0,7.0,13.0,"Developer, full-stack",0.0,In-person,Other:,5.0,2.0,48726.0,3.0,4.085976312551584
39.5,4.0,0,12.0,20.0,Other (please specify):,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,8.0,2.0,104413.0,3.0,9.903487552536127
59.5,4.0,0,40.0,45.0,"Developer, desktop or enterprise applications",0.0,Remote,Software Development,1.0,,53095.0,3.0,8.006200887093147
29.5,5.0,0,2.0,4.0,AI/ML engineer,,In-person,Software Development,13.0,9.0,500000.0,3.0,2.302585092994046
29.5,4.0,0,8.0,14.0,"Developer, full-stack",0.0,In-person,Software Development,9.0,1.0,145000.0,3.0,4.085976312551584
59.5,4.0,0,30.0,25.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,6.0,,81210.0,3.0,8.006200887093147
29.5,4.0,0,10.0,14.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,10.0,3.0,200000.0,3.0,8.922591630635415
29.5,4.0,0,10.0,14.0,"Developer, back-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,3.0,3.0,200000.0,3.0,4.085976312551584
49.5,5.0,0,30.0,30.0,"Architect, software or solutions",1.0,Remote,Software Development,9.0,7.0,149756.0,3.0,5.702114417555504
39.5,4.0,0,16.0,20.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,2.0,1.0,113000.0,3.0,4.085976312551584
29.5,5.0,0,5.0,15.0,"Architect, software or solutions",0.0,"Your choice (very flexible, you can come in when you want or just as needed)","Internet, Telecomm or Information Services",10.0,15.0,31114.0,1.0,5.702114417555504
49.5,2.0,1,35.0,42.0,"Founder, technology or otherwise",,,Other:,12.0,3.0,175000.0,3.0,
39.5,4.0,1,14.0,14.0,"Architect, software or solutions",0.0,Remote,Software Development,7.0,3.0,58007.0,3.0,0.0
49.5,4.0,0,24.0,35.0,"Architect, software or solutions",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,6.0,5.0,400000.0,3.0,6.619406317542652
39.5,4.0,0,7.0,11.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Media & Advertising Services,,4.0,119124.0,3.0,8.006200887093147
39.5,1.0,1,21.0,26.0,"Developer, desktop or enterprise applications",,,Software Development,2.0,,92812.0,3.0,
29.5,5.0,0,13.0,20.0,"Developer, back-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Media & Advertising Services,7.0,5.0,71929.0,3.0,5.702114417555504
39.5,4.0,1,22.0,30.0,"Developer, desktop or enterprise applications",,,Software Development,3.0,,350000.0,3.0,
77.5,5.0,0,45.0,48.0,"Developer, back-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,6.0,4.0,87011.0,3.0,9.903487552536127
39.5,2.0,0,20.0,30.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,12.0,1.0,16383.0,2.0,6.619406317542652
49.5,4.0,0,25.0,35.0,Project manager,1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,9.0,,142949.0,3.0,8.922591630635415
21.0,3.0,0,4.0,8.0,"Developer, full-stack",0.0,Remote,Software Development,5.0,,22000.0,3.0,6.619406317542652
59.5,4.0,1,36.0,40.0,"Developer, front-end",,,Software Development,3.0,4.0,120000.0,3.0,
39.5,4.0,0,19.0,32.0,Support engineer or analyst,0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Energy,8.0,4.0,100000.0,3.0,5.702114417555504
21.0,1.0,0,4.0,8.0,DevOps engineer or professional,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,8.0,2.0,48281.0,3.0,5.702114417555504
29.5,5.0,0,3.0,8.0,"Developer, embedded applications or devices",0.0,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,10.0,4.0,34804.0,3.0,2.302585092994046
21.0,4.0,0,3.0,7.0,"Developer, full-stack",0.0,In-person,Software Development,10.0,3.0,84000.0,3.0,4.085976312551584
49.5,6.0,1,28.0,28.0,"Architect, software or solutions",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Fintech,4.0,3.0,92812.0,2.0,2.302585092994046
49.5,2.0,0,25.0,25.0,"Senior executive (C-suite, VP, etc.)",0.0,Remote,Software Development,9.0,6.0,122527.0,3.0,4.085976312551584
29.5,4.0,0,12.0,18.0,"Architect, software or solutions",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Media & Advertising Services,8.0,6.0,65000.0,1.0,8.922591630635415
29.5,5.0,0,16.0,20.0,"Developer, full-stack",0.0,Remote,Other:,11.0,3.0,8388.0,2.0,5.702114417555504
39.5,5.0,0,14.0,18.0,"Developer, back-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,5.0,1.0,75410.0,3.0,8.006200887093147
39.5,2.0,0,16.0,18.0,"Architect, software or solutions",1.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,7.0,6.0,186625.0,3.0,5.702114417555504
29.5,5.0,0,3.0,13.0,Cybersecurity or InfoSec professional,0.0,In-person,Software Development,9.0,4.0,80000.0,3.0,4.085976312551584
29.5,4.0,0,8.0,8.0,"Developer, full-stack",,Remote,Other:,,,18598.0,1.0,2.302585092994046
39.5,4.0,0,14.0,17.0,"Developer, QA or test",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,7.0,4.0,44933.0,3.0,5.702114417555504
49.5,3.0,1,15.0,28.0,Other (please specify):,0.0,Remote,Manufacturing,3.0,,39006.0,3.0,2.302585092994046
59.5,6.0,0,30.0,25.0,Academic researcher,0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Higher Education,7.0,1.0,73516.0,3.0,8.006200887093147
39.5,5.0,0,15.0,20.0,"Developer, mobile",0.0,Remote,Software Development,2.0,1.0,400000.0,3.0,9.903487552536127
29.5,4.0,0,5.0,13.0,DevOps engineer or professional,0.0,Remote,Software Development,6.0,6.0,175000.0,3.0,5.702114417555504
39.5,4.0,0,16.0,20.0,DevOps engineer or professional,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Energy,2.0,4.0,116015.0,3.0,8.006200887093147
49.5,6.0,0,12.0,25.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,2.0,1.0,86315.0,3.0,5.702114417555504
29.5,4.0,0,6.0,10.0,"Developer, full-stack",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,,,18674.0,2.0,5.702114417555504
21.0,4.0,0,3.0,3.0,"Developer, full-stack",0.0,In-person,Software Development,1.0,3.0,6974.0,1.0,2.302585092994046
49.5,3.0,0,25.0,24.0,"Developer, full-stack",0.0,Remote,"Internet, Telecomm or Information Services",4.0,5.0,104413.0,3.0,9.903487552536127
39.5,5.0,0,14.0,22.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,12.0,8.0,93000.0,3.0,8.006200887093147
21.0,4.0,0,5.0,13.0,"Architect, software or solutions",1.0,"Hybrid (some in-person, leans heavy to flexibility)","Transportation, or Supply Chain",18.0,7.0,43375.0,3.0,9.903487552536127
39.5,4.0,0,4.0,6.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,7.0,,20024.0,2.0,9.903487552536127
39.5,5.0,0,15.0,20.0,"Developer, back-end",0.0,Remote,Banking/Financial Services,7.0,3.0,134577.0,3.0,6.619406317542652
39.5,3.0,0,25.0,30.0,"Developer, front-end",0.0,Remote,Software Development,6.0,,76340.0,3.0,5.702114417555504
29.5,4.0,1,10.0,14.0,Other (please specify):,,,Software Development,6.0,4.0,13099.0,3.0,
39.5,4.0,1,16.0,25.0,"Architect, software or solutions",,,Government,7.0,3.0,109438.0,3.0,
39.5,4.0,0,13.0,18.0,"Developer, back-end",0.0,Remote,Energy,4.0,2.0,122527.0,3.0,4.085976312551584
49.5,6.0,0,7.0,9.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,7.0,1.0,75410.0,3.0,4.085976312551584
39.5,5.0,0,19.0,10.0,"Developer, back-end",0.0,Remote,Other:,8.0,3.0,150819.0,3.0,6.619406317542652
29.5,2.0,0,15.0,17.0,"Developer, full-stack",0.0,Remote,"Internet, Telecomm or Information Services",5.0,3.0,190000.0,3.0,4.085976312551584
39.5,1.0,0,23.0,22.0,"Developer, full-stack",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,5.0,3.0,38285.0,3.0,2.302585092994046
77.5,5.0,1,25.0,60.0,AI/ML engineer,0.0,Remote,Software Development,3.0,,30000.0,3.0,2.302585092994046
49.5,4.0,0,20.0,35.0,"Developer, desktop or enterprise applications",0.0,In-person,Software Development,5.0,1.0,61483.0,3.0,5.702114417555504
29.5,5.0,1,10.0,10.0,AI/ML engineer,0.0,Remote,Higher Education,,,200000.0,3.0,0.0
39.5,2.0,0,11.0,15.0,"Developer, QA or test",0.0,Remote,Software Development,4.0,,69609.0,3.0,6.619406317542652
39.5,2.0,0,23.0,29.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Insurance,8.0,3.0,130000.0,3.0,8.006200887093147
39.5,3.0,1,13.0,13.0,"Developer, mobile",0.0,Remote,Software Development,2.0,2.0,87550.0,3.0,0.0
29.5,3.0,0,16.0,13.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Government,8.0,3.0,51734.0,3.0,8.006200887093147
39.5,5.0,1,20.0,20.0,"Developer, full-stack",,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,1.0,3.0,1162.0,1.0,0.0
29.5,1.0,1,11.0,14.0,"Developer, mobile",0.0,Remote,Software Development,9.0,,89867.0,3.0,4.085976312551584
29.5,1.0,0,7.0,15.0,"Developer, front-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,7.0,3.0,51046.0,3.0,5.702114417555504
29.5,4.0,0,12.0,16.0,"Developer, full-stack",0.0,Remote,Healthcare,8.0,4.0,130000.0,3.0,4.085976312551584
49.5,5.0,0,4.0,4.0,DevOps engineer or professional,1.0,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,5.0,3.0,52207.0,3.0,4.085976312551584
59.5,5.0,0,35.0,35.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,6.0,3.0,96292.0,3.0,8.922591630635415
29.5,1.0,1,15.0,17.0,"Developer, full-stack",0.0,Remote,Software Development,5.0,3.0,200000.0,2.0,4.085976312551584
39.5,5.0,0,20.0,23.0,"Developer, embedded applications or devices",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,7.0,,176485.0,3.0,9.903487552536127
39.5,5.0,0,10.0,13.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,3.0,,170000.0,3.0,9.903487552536127
29.5,4.0,0,5.0,15.0,"Developer, back-end",0.0,Remote,Healthcare,1.0,1.0,170000.0,3.0,5.702114417555504
21.0,4.0,0,3.0,15.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,6.0,2.0,72958.0,3.0,8.006200887093147
29.5,4.0,0,9.0,13.0,Other (please specify):,1.0,Remote,Other:,4.0,2.0,32767.0,2.0,2.302585092994046
29.5,5.0,1,15.0,16.0,"Developer, full-stack",,,Software Development,8.0,5.0,59916.0,2.0,
59.5,2.0,1,25.0,46.0,"Developer, full-stack",1.0,Remote,Software Development,13.0,9.0,120000.0,3.0,0.0
29.5,4.0,0,7.0,8.0,"Developer, front-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Insurance,3.0,,38359.0,1.0,6.619406317542652
39.5,4.0,0,14.0,18.0,Data engineer,0.0,Remote,Media & Advertising Services,5.0,5.0,71000.0,1.0,5.702114417555504
39.5,4.0,1,20.0,25.0,"Developer, back-end",0.0,Remote,"Transportation, or Supply Chain",10.0,8.0,60000.0,2.0,5.702114417555504
39.5,4.0,0,10.0,12.0,"Developer, back-end",0.0,Remote,Software Development,6.0,,76570.0,3.0,4.085976312551584
49.5,3.0,0,13.0,16.0,"Developer, front-end",0.0,Remote,Other:,2.0,,172000.0,3.0,5.702114417555504
29.5,4.0,0,2.0,6.0,"Developer, embedded applications or devices",0.0,"Hybrid (some remote, leans heavy to in-person)",Computer Systems Design and Services,13.0,2.0,7793.0,2.0,8.006200887093147
39.5,2.0,1,12.0,15.0,"Developer, full-stack",,,Software Development,,,109160.0,3.0,
29.5,2.0,0,8.0,12.0,"Developer, back-end",0.0,Remote,Fintech,,,40048.0,2.0,6.619406317542652
39.5,1.0,0,17.0,19.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some remote, leans heavy to in-person)",Other:,9.0,5.0,39445.0,3.0,2.302585092994046
77.5,5.0,0,47.0,50.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,4.0,1.0,130000.0,3.0,0.0
49.5,5.0,0,30.0,42.0,Engineering manager,1.0,"Hybrid (some in-person, leans heavy to flexibility)",Other:,6.0,,145671.0,3.0,4.085976312551584
39.5,6.0,0,20.0,27.0,"Developer, full-stack",0.0,In-person,Higher Education,6.0,7.0,78000.0,3.0,9.903487552536127
21.0,4.0,0,3.0,9.0,"Developer, full-stack",1.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,9.0,1.0,70332.0,3.0,5.702114417555504
29.5,2.0,0,8.0,10.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Higher Education,5.0,2.0,127000.0,3.0,6.619406317542652
39.5,4.0,0,16.0,25.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,8.0,8.0,81685.0,3.0,4.085976312551584
39.5,5.0,0,12.0,17.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,4.0,5.0,77730.0,3.0,9.903487552536127
39.5,4.0,0,8.0,13.0,"Developer, full-stack",0.0,In-person,Software Development,8.0,3.0,130000.0,3.0,5.702114417555504
29.5,5.0,0,5.0,12.0,"Developer, full-stack",0.0,Remote,Software Development,9.0,2.0,13949.0,1.0,9.903487552536127
29.5,4.0,1,6.0,7.0,"Developer, back-end",,,Software Development,6.0,6.0,14927.0,2.0,
39.5,4.0,1,25.0,30.0,"Developer, full-stack",,,Software Development,13.0,6.0,300000.0,3.0,
29.5,4.0,0,,,Other (please specify):,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Other:,8.0,5.0,131432.0,3.0,4.085976312551584
39.5,6.0,1,10.0,15.0,AI/ML engineer,1.0,Remote,Other:,4.0,3.0,100000.0,2.0,2.302585092994046
29.5,4.0,0,6.0,5.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,8.0,3.0,106733.0,3.0,5.702114417555504
29.5,4.0,0,6.0,8.0,"Developer, full-stack",0.0,Remote,Software Development,3.0,1.0,26322.0,2.0,4.085976312551584
29.5,4.0,0,1.0,4.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,1.0,,58007.0,3.0,8.006200887093147
39.5,4.0,0,15.0,20.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,6.0,2.0,147071.0,3.0,
39.5,5.0,0,15.0,22.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,9.0,5.0,40743.0,2.0,9.903487552536127
29.5,5.0,0,8.0,14.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)","Transportation, or Supply Chain",4.0,2.0,91652.0,3.0,4.085976312551584
29.5,4.0,0,3.0,5.0,"Developer, embedded applications or devices",0.0,In-person,Software Development,,,58700.0,3.0,5.702114417555504
39.5,2.0,1,10.0,22.0,"Architect, software or solutions",,,Energy,6.0,6.0,232029.0,3.0,
39.5,4.0,0,15.0,23.0,"Developer, full-stack",0.0,In-person,Software Development,4.0,3.0,69764.0,3.0,4.085976312551584
29.5,5.0,0,4.0,12.0,"Developer, back-end",0.0,In-person,Software Development,6.0,5.0,27857.0,2.0,4.085976312551584
39.5,4.0,0,18.0,22.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,8.0,1.0,545000.0,3.0,9.903487552536127
29.5,4.0,0,5.0,6.0,"Developer, front-end",0.0,Remote,Software Development,5.0,2.0,120000.0,3.0,2.302585092994046
39.5,4.0,0,11.0,22.0,Other (please specify):,0.0,In-person,"Internet, Telecomm or Information Services",5.0,,122976.0,3.0,9.903487552536127
39.5,4.0,0,12.0,12.0,"Developer, full-stack",0.0,Remote,Software Development,7.0,6.0,104100.0,3.0,4.085976312551584
49.5,5.0,0,23.0,27.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,4.0,1.0,151053.0,3.0,4.085976312551584
39.5,2.0,0,20.0,27.0,DevOps engineer or professional,0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,14.0,3.0,165000.0,3.0,5.702114417555504
21.0,4.0,0,3.0,8.0,"Developer, back-end",0.0,In-person,Software Development,11.0,3.0,112000.0,3.0,8.006200887093147
39.5,5.0,0,18.0,22.0,"Developer, full-stack",0.0,Remote,Software Development,3.0,2.0,169000.0,3.0,8.006200887093147
39.5,5.0,0,15.0,19.0,Engineering manager,1.0,Remote,Other:,10.0,5.0,100464.0,3.0,4.085976312551584
21.0,2.0,1,6.0,11.0,"Founder, technology or otherwise",,,Other:,9.0,3.0,11601.0,3.0,
59.5,6.0,1,40.0,43.0,"Developer, full-stack",1.0,In-person,Software Development,6.0,3.0,174022.0,3.0,5.702114417555504
39.5,5.0,0,18.0,18.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Other:,5.0,4.0,161191.0,3.0,5.702114417555504
29.5,5.0,0,12.0,14.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,6.0,3.0,71929.0,3.0,5.702114417555504
49.5,4.0,0,23.0,30.0,"Developer, back-end",0.0,Remote,Software Development,8.0,8.0,330000.0,3.0,9.903487552536127
39.5,4.0,0,12.0,19.0,"Architect, software or solutions",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,8.0,3.0,124416.0,3.0,5.702114417555504
49.5,2.0,1,27.0,37.0,"Developer, back-end",,,Software Development,5.0,4.0,150000.0,3.0,
39.5,6.0,0,12.0,25.0,"Developer, back-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,4.0,6.0,99193.0,3.0,5.702114417555504
39.5,4.0,0,25.0,35.0,AI/ML engineer,0.0,Remote,Software Development,8.0,3.0,200000.0,3.0,2.302585092994046
39.5,5.0,0,19.0,25.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,1.0,1.0,160000.0,3.0,9.903487552536127
29.5,4.0,0,8.0,10.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Government,4.0,2.0,74900.0,3.0,5.702114417555504
49.5,5.0,0,25.0,27.0,"Developer, back-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,6.0,4.0,83531.0,3.0,4.085976312551584
39.5,4.0,0,20.0,25.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,4.0,1.0,75410.0,3.0,2.302585092994046
39.5,6.0,0,19.0,30.0,"Senior executive (C-suite, VP, etc.)",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Fintech,4.0,5.0,500000.0,3.0,8.006200887093147
29.5,4.0,0,4.0,6.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Other:,6.0,,138000.0,3.0,8.006200887093147
39.5,2.0,0,10.0,18.0,"Developer, back-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Government,6.0,1.0,43775.0,3.0,8.006200887093147
29.5,5.0,0,3.0,7.0,AI/ML engineer,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,4.0,2.0,69432.0,3.0,5.702114417555504
29.5,4.0,0,6.0,10.0,"Developer, full-stack",0.0,Remote,Software Development,5.0,3.0,80824.0,2.0,4.085976312551584
39.5,2.0,0,18.0,17.0,"Developer, front-end",0.0,Remote,"Transportation, or Supply Chain",9.0,,58990.0,3.0,5.702114417555504
39.5,2.0,0,18.0,20.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,4.0,1.0,450000.0,3.0,9.903487552536127
39.5,5.0,0,15.0,20.0,"Developer, back-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,6.0,2.0,97452.0,3.0,4.085976312551584
29.5,4.0,0,11.0,15.0,"Developer, full-stack",0.0,In-person,Fintech,8.0,6.0,94846.0,3.0,4.085976312551584
29.5,4.0,0,4.0,12.0,"Developer, back-end",0.0,Remote,Software Development,8.0,8.0,37125.0,3.0,2.302585092994046
49.5,4.0,0,39.0,36.0,"Architect, software or solutions",0.0,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,2.0,1.0,48146.0,3.0,9.903487552536127
39.5,4.0,0,22.0,22.0,"Architect, software or solutions",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,5.0,6.0,91899.0,3.0,4.085976312551584
39.5,2.0,0,12.0,14.0,"Developer, full-stack",1.0,"Hybrid (some remote, leans heavy to in-person)",Other:,3.0,4.0,196000.0,3.0,8.006200887093147
21.0,4.0,0,8.0,8.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,,,4000.0,0.0,2.302585092994046
39.5,2.0,0,15.0,15.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Insurance,,,112997.0,3.0,5.702114417555504
39.5,4.0,0,11.0,12.0,Data scientist,1.0,"Hybrid (some remote, leans heavy to in-person)",Insurance,5.0,2.0,67204.0,2.0,9.903487552536127
49.5,4.0,0,25.0,30.0,"Developer, full-stack",1.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,7.0,3.0,240000.0,3.0,2.302585092994046
39.5,4.0,0,16.0,18.0,"Developer, back-end",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,5.0,4.0,76570.0,3.0,5.702114417555504
49.5,4.0,0,26.0,40.0,"Developer, full-stack",1.0,Remote,Fintech,8.0,3.0,87550.0,3.0,6.619406317542652
39.5,5.0,0,12.0,36.0,"Developer, full-stack",,In-person,Software Development,1.0,1.0,58007.0,3.0,2.302585092994046
39.5,5.0,0,15.0,27.0,"Developer, desktop or enterprise applications",0.0,In-person,Software Development,4.0,,324841.0,3.0,9.903487552536127
49.5,5.0,0,21.0,30.0,DevOps engineer or professional,1.0,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,4.0,7.0,53692.0,2.0,6.619406317542652
29.5,4.0,1,10.0,15.0,"Architect, software or solutions",,,Software Development,6.0,9.0,150095.0,3.0,
29.5,4.0,1,10.0,19.0,"Developer, full-stack",,,Software Development,5.0,6.0,46000.0,3.0,
49.5,2.0,0,20.0,25.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Media & Advertising Services,9.0,6.0,46406.0,3.0,6.619406317542652
39.5,2.0,1,8.0,12.0,"Developer, full-stack",,,Manufacturing,7.0,7.0,100000.0,3.0,
29.5,3.0,0,10.0,14.0,"Developer, mobile",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,2.0,1.0,37682.0,2.0,5.702114417555504
39.5,4.0,0,11.0,18.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,5.0,1.0,72500.0,3.0,5.702114417555504
29.5,4.0,0,3.0,18.0,AI/ML engineer,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,5.0,6.0,7556.0,1.0,9.903487552536127
29.5,4.0,0,12.0,18.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,2.0,3.0,190598.0,3.0,8.006200887093147
39.5,6.0,1,10.0,23.0,"Developer, full-stack",,,Software Development,10.0,7.0,75410.0,3.0,
39.5,5.0,0,8.0,20.0,"Developer, full-stack",1.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,4.0,4.0,46406.0,3.0,2.302585092994046
39.5,1.0,0,10.0,18.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,6.0,4.0,69609.0,3.0,4.085976312551584
21.0,4.0,0,2.0,10.0,"Developer, game or graphics",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Other:,10.0,,70113.0,3.0,4.085976312551584
